"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT1G21930",3.26026377572857e-113,2.23760097699148,0.675,0.019,6.69755987447919e-109
"AT5G09830",3.70923653528861e-113,1.15653231062927,0.71,0.034,7.61988461444339e-109
"AT5G51140",4.06962003921189e-113,1.50627809475866,0.675,0.019,8.36022044655299e-109
"AT4G18930",4.18666643560462e-113,0.610798994722691,0.848,0.097,8.60066885866258e-109
"AT5G63570",4.3941971949551e-113,0.815994268620402,0.834,0.093,9.02699929759626e-109
"AT1G79210",5.53968656611291e-113,0.617479576563065,0.742,0.049,1.13801781127658e-108
"AT2G18040",6.14334629316465e-113,0.949424032300135,0.737,0.047,1.26202762900481e-108
"AT1G22190",6.36651452316604e-113,1.83567325576644,0.703,0.032,1.307873078494e-108
"AT1G21350",6.39541925031799e-113,0.629841550121697,0.737,0.047,1.31381097659282e-108
"AT5G38480",7.67710601485519e-113,0.52099096327444,0.797,0.074,1.5771078886317e-108
"AT2G46910",7.95782682111196e-113,0.53425484011531,0.747,0.051,1.63477636386103e-108
"AT3G01740",9.30672803531512e-113,0.981084648849245,0.708,0.034,1.91188114029478e-108
"AT5G42765",9.48476075237899e-113,1.57035258223382,0.678,0.021,1.94845440136122e-108
"AT1G22450",1.0619623576197e-112,2.02026872303578,0.676,0.019,2.18158927125815e-108
"AT5G36170",1.28411427830363e-112,0.99250872196397,0.69,0.025,2.63795596191915e-108
"AT1G78080",1.49903652501972e-112,0.88862035750075,0.853,0.104,3.079470733348e-108
"AT3G57785",1.88021566489329e-112,0.792901670132292,0.722,0.04,3.86252704039028e-108
"AT2G28900",2.35778739438605e-112,1.61513877136707,0.995,0.362,4.84360264428727e-108
"AT4G10300",2.94199347266908e-112,0.901399943461712,0.972,0.163,6.0437371909041e-108
"AT4G34870",3.30647988868891e-112,0.390031073834551,0.915,0.131,6.79250163533363e-108
"AT3G15900",3.48226319031107e-112,2.43896246550138,0.667,0.017,7.15361327185604e-108
"AT1G44575",4.36109036764349e-112,1.56023540916582,0.999,0.355,8.95898794225003e-108
"AT2G43540",4.62013079139097e-112,0.738710742244838,0.717,0.04,9.49113468475446e-108
"AT1G51890",4.72173516072128e-112,-9.52468778652106,0.008,0.328,9.69986054066972e-108
"AT1G63980",4.8353688927293e-112,0.889239545316573,0.72,0.04,9.9332983163338e-108
"AT2G43535",4.96442264594912e-112,1.32330517691033,0.757,0.061,1.01984134415733e-107
"AT3G51260",5.8299200184754e-112,0.57960854421237,0.776,0.066,1.1976404693954e-107
"AT5G50850",7.20850818795339e-112,0.942475496513635,0.74,0.051,1.48084383705126e-107
"AT1G73655",7.37525725992875e-112,1.13365131278973,0.981,0.175,1.51509909890716e-107
"AT5G08530",7.43621399015435e-112,0.441356155698062,0.784,0.07,1.52762143999741e-107
"AT5G57345",7.97427040068773e-112,0.485118809343731,0.861,0.106,1.63815436841328e-107
"AT3G44620",9.33295313055836e-112,0.852482056517711,0.71,0.036,1.9172685616106e-107
"AT5G53560",9.95909582141635e-112,0.744682038463025,0.957,0.152,2.04589705459356e-107
"AT5G42030",1.00228124816824e-111,1.45395367315928,0.678,0.021,2.05898636811202e-107
"AT5G19990",1.038047777125e-111,1.00356824751893,0.737,0.049,2.13246154854789e-107
"AT4G00165",1.38830960136799e-111,2.16391296829391,0.698,0.032,2.85200441409027e-107
"AT5G38420",1.76748620068511e-111,1.69175798287782,0.994,0.292,3.63094690206742e-107
"AT3G54050",1.89031705973184e-111,1.33515568136649,0.982,0.186,3.88327833580712e-107
"AT4G18440",2.21979422625206e-111,1.69639599783989,0.897,0.152,4.56012327898962e-107
"AT2G34770",2.36292992832224e-111,0.637134698661011,0.905,0.131,4.85416695175237e-107
"AT1G15340",2.37362920696137e-111,1.11967494725679,0.703,0.034,4.87614647986075e-107
"AT2G47380",2.40720567191814e-111,0.942100204924133,0.704,0.034,4.94512261182143e-107
"AT2G23070",2.47215536097308e-111,0.982309200816987,0.744,0.053,5.07854875804701e-107
"AT2G45980",2.55224373714566e-111,0.25147805352282,0.805,0.08,5.24307430921834e-107
"AT1G03680",2.58134967640943e-111,1.49197545337856,0.992,0.235,5.3028666402479e-107
"AT3G09630",2.84516908873394e-111,1.04608316188722,0.717,0.04,5.84483085898614e-107
"AT1G05190",5.21077857925084e-111,1.57138109712589,0.997,0.279,1.0704502435355e-106
"AT4G28060",5.40607504564549e-111,0.577364654077028,0.799,0.078,1.11056999662695e-106
"AT5G50250",5.62461904145113e-111,0.969805929121693,0.719,0.042,1.1554654896853e-106
"AT2G01490",6.35037071596507e-111,0.441810043874633,0.811,0.085,1.3045566561807e-106
"AT4G21110",6.51727917396737e-111,0.388587525133572,0.776,0.068,1.33884466070812e-106
"AT1G55480",7.10268175057342e-111,0.760326423916465,0.757,0.059,1.4591039120203e-106
"AT4G13510",9.25868226603649e-111,-5.57592665552448,0.445,0.748,1.90201109791188e-106
"AT1G44000",9.69896592193119e-111,2.2149150093563,0.66,0.015,1.99245856934232e-106
"AT1G78150",1.02617215943895e-110,2.09332534586366,0.66,0.015,2.10806546713544e-106
"AT4G17040",1.05689892900762e-110,0.89317863308832,0.971,0.171,2.17118746986035e-106
"AT5G17870",1.06475156953334e-110,1.47520569123995,0.992,0.207,2.18731914929234e-106
"AT3G59940",1.17790243733872e-110,1.68485448164009,0.697,0.034,2.41976497702493e-106
"AT5G09225",1.2351521366932e-110,1.07141500878844,0.693,0.032,2.53737303440883e-106
"AT5G58800",1.30320794335265e-110,0.858752037468833,0.724,0.047,2.67718007802936e-106
"AT2G03390",1.33610094457089e-110,1.62487000789628,0.669,0.019,2.74475217043198e-106
"AT1G32928",1.36197204816418e-110,1.13230549965304,0.939,0.159,2.79789917854367e-106
"AT1G64770",1.58543774212021e-110,1.67184912400779,0.664,0.017,3.25696475363755e-106
"AT3G05530",1.67199919267818e-110,0.565266318803802,0.778,0.07,3.43478794151879e-106
"GAMMA CAL2",1.70557620050969e-110,1.02780302331617,0.695,0.032,3.50376518870705e-106
"AT1G18640",1.76197006648488e-110,1.27416574894339,0.682,0.025,3.6196151075799e-106
"AT5G55220",1.82590556525268e-110,0.676613702667263,0.724,0.044,3.75095780269858e-106
"AT1G03220",2.4817585922273e-110,-4.38190871159749,0.769,0.816,5.09827667601254e-106
"AT4G24280",2.75310481505218e-110,0.408419903023647,0.826,0.093,5.65570322156169e-106
"AT2G26210",2.98262043120963e-110,1.07773816797286,0.69,0.03,6.12719715183393e-106
"AT1G24880",3.12389294830722e-110,0.802154279973456,0.74,0.053,6.41741328370752e-106
"AT5G51545",3.20136648031334e-110,0.894837226560582,0.7,0.034,6.5765671605077e-106
"AT3G25470",3.32976465951776e-110,1.42524535339816,0.687,0.03,6.84033554004733e-106
"AT4G27800",3.38621647589907e-110,0.944866111379483,0.986,0.18,6.95630450643947e-106
"AT2G09990",3.73753836818009e-110,3.90044362986488,0.639,0.006,7.67802506975235e-106
"AT1G73530",3.86751298737377e-110,1.42478826364264,0.703,0.036,7.94503192996194e-106
"AT5G62350",4.04544706458321e-110,0.294899344385361,0.853,0.108,8.31056190477329e-106
"AT2G19760",4.66499544383216e-110,0.535078213866855,0.808,0.085,9.58330014026442e-106
"AT3G16190",4.80306026675866e-110,0.894797440839326,0.713,0.04,9.86692670600231e-106
"AT3G13882",6.64482145573118e-110,2.98285310952279,0.648,0.011,1.36504567165086e-105
"AT5G44060",7.10521010736726e-110,1.22717854469716,0.728,0.049,1.45962331235646e-105
"AT4G29350",7.43957456531129e-110,0.33120364768327,0.918,0.133,1.5283118029519e-105
"AT1G27100",7.72089756991517e-110,0.618604356140475,0.917,0.137,1.58610398778767e-105
"AT3G60820",7.92457438200177e-110,0.349335597141264,0.781,0.072,1.62794531529462e-105
"AT4G36800",8.66357421280482e-110,0.383661778041342,0.921,0.137,1.7797580505365e-105
"AT5G64350",1.10233403403185e-109,0.792422029519852,0.975,0.167,2.26452480611163e-105
"AT2G15580",1.12493224033674e-109,0.532840118870691,0.784,0.074,2.31094830132377e-105
"AT1G04630",1.22100100058429e-109,0.49442106584319,0.725,0.047,2.5083023555003e-105
"AT5G17170",1.78798892863073e-109,1.11586465516676,0.734,0.051,3.6730656560861e-105
"AT5G65940",2.34322440661112e-109,0.273528679316427,0.755,0.061,4.81368589850122e-105
"AT3G63490",2.47482796344901e-109,1.40619825545113,0.992,0.216,5.0840390853133e-105
"AT5G17230",2.54042882434572e-109,2.40241668863939,0.646,0.011,5.21880293385341e-105
"AT3G47836",3.04268224145681e-109,0.454121349749509,0.719,0.044,6.25058212862472e-105
"AT1G07440",3.29859876081712e-109,1.41178628762775,0.704,0.038,6.77631143434661e-105
"AT5G22360",4.15342932536536e-109,0.517856545615713,0.728,0.049,8.53238986309807e-105
"AT3G26710",4.57796633954326e-109,0.630472109182361,0.718,0.044,9.40451625132372e-105
"AT4G20890",5.38144377411011e-109,1.3640123610075,0.7,0.038,1.10550999451544e-104
"AT4G13720",5.58419649617117e-109,2.42895353487554,0.648,0.013,1.14716148620844e-104
"AT5G52200",5.93449857687091e-109,0.533040861793596,0.771,0.07,1.21912404264659e-104
"AT5G66675",6.40917276018819e-109,0.910018471915029,0.712,0.042,1.31663636012546e-104
"AT5G04430",7.33043073699594e-109,1.2112421457021,0.687,0.032,1.50589038630108e-104
"AT4G22470",7.47280653910359e-109,-6.84275875417356,0.108,0.522,1.53513864732805e-104
"AT4G04640",1.06520609143882e-108,1.25323141321138,0.988,0.192,2.18825287364276e-104
"AT3G08720",1.10172109927175e-108,1.02194664851998,0.747,0.059,2.26326565423395e-104
"AT1G15730",1.115333135058e-108,1.22597020422676,0.677,0.027,2.29122885934964e-104
"AT1G15230",1.22833966322704e-108,0.78533074041899,0.707,0.04,2.5233781701673e-104
"AT3G23600",1.27429374528988e-108,0.344319835564587,0.933,0.144,2.61778164094899e-104
"AT3G08710",1.29758201445053e-108,0.610440522781815,0.77,0.07,2.66562273228572e-104
"AT5G19190",1.4537690845267e-108,2.98318714451914,0.638,0.008,2.98647783034321e-104
"AT2G35500",1.45827858572467e-108,1.95632763077389,0.658,0.019,2.9957416986542e-104
"AT3G23170",1.50421463549473e-108,1.43850963563031,0.721,0.049,3.09010812569683e-104
"AT1G27730",1.75084226758616e-108,1.77652700832853,0.983,0.362,3.59675527030225e-104
"AT1G77060",1.80918964899064e-108,1.29287926060597,0.67,0.023,3.71661829592148e-104
"AT3G55170",1.86351855561052e-108,2.06771463122638,0.661,0.019,3.82822616879068e-104
"AT1G51730",2.27933804389908e-108,2.4445184780291,0.644,0.013,4.68244414358188e-104
"AT5G46800",2.39333698405751e-108,1.02363347386605,0.665,0.021,4.91663216634933e-104
"AT2G37600",3.17796936659682e-108,3.20893054274933,0.637,0.008,6.52850246979986e-104
"AT1G55330",4.2410425783994e-108,1.37146655741426,0.873,0.133,8.7123737688059e-104
"AT2G20360",4.61560335609631e-108,0.816418951289747,0.699,0.038,9.48183397442865e-104
"AT2G27020",5.31689686170464e-108,0.306636731711705,0.766,0.068,1.09225012229998e-103
"AT2G39990",5.47260941503375e-108,1.30716720333357,0.668,0.023,1.12423815213038e-103
"AT5G62390",7.26668247536335e-108,0.497245750521516,0.796,0.085,1.49279458091389e-103
"AT3G18140",8.09325786672736e-108,0.489219091290249,0.726,0.051,1.6625979635618e-103
"AT5G52100",1.00335393336185e-107,1.8378613122959,0.649,0.015,2.06118998530524e-103
"AT3G43810",1.05159780449937e-107,0.50026242873695,0.723,0.049,2.16029736978305e-103
"AT4G02200",1.060627818377e-107,1.60710398951003,0.673,0.027,2.17884772729186e-103
"AT2G03550",1.16299489070561e-107,2.05299518578281,0.653,0.017,2.38914040397654e-103
"AT4G32320",1.18005131336047e-107,1.14482366392598,0.667,0.023,2.42417941303641e-103
"AT1G51110",1.23048092076593e-107,0.613480278179036,0.69,0.034,2.52777695552945e-103
"AT4G00430",1.24758971289031e-107,0.694096704038402,0.849,0.112,2.56292354719057e-103
"AT1G50010",1.39506662681054e-107,1.16279152094086,0.695,0.036,2.8658853714569e-103
"AT1G28330",1.7018462752481e-107,1.64058871767582,0.994,0.319,3.49610280324217e-103
"AT4G33680",1.97570427134765e-107,0.979622459367163,0.688,0.034,4.05868928462948e-103
"AT2G33855",2.18747896863828e-107,2.88531530763848,0.634,0.008,4.49373804527362e-103
"AT1G61340",2.25680501129157e-107,1.78521038269253,0.685,0.034,4.63615453469626e-103
"AT3G57930",2.38641215314077e-107,1.67951852153028,0.664,0.023,4.90240648619708e-103
"AT3G62650",2.48450516306133e-107,1.03647328409425,0.707,0.042,5.10391895647688e-103
"AT3G57290",2.59676785741045e-107,1.48239595212831,0.676,0.03,5.33454020947828e-103
"AT1G48920",2.60445811831421e-107,2.9494986874457,0.651,0.017,5.35033831245288e-103
"AT3G42150",3.25645060748925e-107,1.48984914471506,0.664,0.023,6.68972648296516e-103
"AT5G16650",3.31487839167018e-107,0.854374428665962,0.72,0.049,6.80975468000806e-103
"AT2G33740",3.53364644337445e-107,0.669351313098866,0.695,0.038,7.25916988862413e-103
"AT4G17090",3.60190199397409e-107,1.03629891495173,0.962,0.18,7.39938726622097e-103
