"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT1G26380",4.76165847306241e-266,-9.52862176110732,0.045,0.759,9.78187500121212e-262
"AT3G49120",3.29123483106628e-264,-8.1691730022123,0.201,0.922,6.76118371345945e-260
"AT2G18690",3.70675517867755e-261,-7.41216937959635,0.201,0.918,7.61478716355729e-257
"AT2G35980",1.96978624537995e-255,-9.11516862085371,0.072,0.782,4.04653188388403e-251
"AT3G54420",3.62831089470289e-251,-7.56431316253231,0.265,0.934,7.45363907098814e-247
"AT4G15610",1.22995845973947e-238,-8.16641804068068,0.176,0.86,2.5267036638428e-234
"ATCG00020",1.0463186726335e-237,-3.55652479801426,0.999,1,2.149452449191e-233
"AT1G65690",5.32252911258175e-236,-8.59893667832364,0.075,0.748,1.09340715559767e-231
"AT1G67090",2.2339407549648e-235,2.7253630287903,1,0.985,4.58918449292419e-231
"AT3G47470",9.85268416670796e-233,2.34154118890706,1,0.979,2.02403690836682e-228
"AT3G54890",1.2338813412525e-227,2.03701598988484,1,0.968,2.53476243933501e-223
"AT4G20830",1.51795216908884e-227,-5.28378983752532,0.917,0.987,3.11832914095921e-223
"AT1G61520",1.78934470174025e-224,1.93672255421358,1,0.983,3.675850820785e-220
"AT3G61470",3.29806868638981e-221,1.61549571615818,1,0.989,6.77522250245059e-217
"AT1G79040",2.05692186783628e-220,1.61619200994691,1,1,4.22553459309607e-216
"AT1G29910",2.59621135391132e-220,3.04564144214052,1,0.844,5.33339698434002e-216
"AT1G31330",1.64475976846281e-219,1.80942193945744,1,0.949,3.37882999235315e-215
"AT3G49780",1.38141233274838e-218,-6.02102082595733,0.643,0.966,2.83783535516499e-214
"AT4G10340",6.60046369936768e-217,1.78920147535759,1,0.968,1.3559332577611e-212
"AT3G08940",7.37582310536669e-216,2.77296710473353,0.999,0.499,1.51521534053548e-211
"AT1G06680",2.94373080823849e-215,2.16382288858558,1,0.822,6.04730619936433e-211
"AT2G34420",3.15567359883622e-211,2.06955395818427,1,0.992,6.48270027408925e-207
"AT5G54270",7.87974919120004e-210,2.61727574125462,1,0.837,1.61873687634822e-205
"AT2G34430",1.03652041744574e-209,2.28978817664085,1,0.973,2.12932389355878e-205
"AT2G05070",1.13368611196721e-208,3.38879013500286,0.998,0.345,2.32893137981423e-204
"AT5G35735",1.5819010586657e-207,-2.73405662368303,0.992,0.994,3.24969934481696e-203
"AT1G29920",1.67510560594966e-207,2.83734974838527,1,0.945,3.44116944630238e-203
"AT2G21660",3.16304980944617e-207,2.06260953855075,1,0.918,6.49785322354526e-203
"AT1G15820",1.15913937812368e-205,2.05237134740774,0.999,0.736,2.38122002447948e-201
"AT5G66570",1.40540982228557e-205,1.60797906279874,1,0.951,2.88713339792124e-201
"AT4G05180",1.5738765358323e-204,2.0812144541365,1,0.712,3.2332145675603e-200
"AT2G39518",6.7637416999417e-204,-7.83736666587411,0.181,0.801,1.38947545741902e-199
"AT4G28750",1.64814323123987e-202,1.73085556095462,1,0.918,3.38578063993606e-198
"AT1G29930",4.93650051041104e-196,1.65884155925705,1,1,1.01410529985374e-191
"AT1G08380",1.11537875619342e-194,1.53927046859818,1,0.947,2.29132257884815e-190
"AT3G21055",4.094055179695e-194,1.89104965439378,1,0.634,8.41041755564743e-190
"AT2G42220",1.32346288764905e-193,3.11469242349674,0.971,0.049,2.71878981009745e-189
"AT4G27440",1.23741967526107e-192,2.96863955434783,0.996,0.203,2.54203123888881e-188
"AT3G27690",4.74543569294208e-192,4.12033619832175,0.956,0.066,9.74854854401091e-188
"AT5G38410",3.35882936544466e-191,2.31718955816753,1,0.816,6.90004316543296e-187
"AT4G34620",4.31500794374856e-191,2.00054505791813,1,0.526,8.86432081884268e-187
"AT4G02770",2.191880009155e-190,2.0826846645896,1,0.596,4.50277910280712e-186
"AT1G20340",8.2070802929752e-190,1.71974945009565,1,0.825,1.6859805045859e-185
"AT2G10940",1.12729121570405e-188,4.41648554763857,0.904,0.021,2.31579434442083e-184
"AT4G27657",1.76179640988847e-188,3.71605474542972,0.918,0.027,3.61925836483388e-184
"AT5G08330",2.71778917367918e-188,2.72615683410119,0.955,0.044,5.58315429948914e-184
"AT4G20860",6.68374719341748e-188,-6.14779611341915,0.518,0.907,1.37304218594375e-183
"AT2G20260",2.51027953154533e-187,1.65879924702518,0.999,0.685,5.15686724165357e-183
"AT3G02560",6.45960321079959e-187,2.97230901249173,0.933,0.036,1.32699628759456e-182
"AT4G14890",5.99025789380852e-186,2.4855896417166,0.925,0.032,1.23057867912508e-181
"AT1G20620",2.05773201957228e-185,3.10704296189186,0.982,0.328,4.22719888780733e-181
"AT3G14110",2.21119902305456e-185,2.55320576025134,0.943,0.042,4.54246615306098e-181
"AT5G49940",3.83681562448795e-184,2.30714007983505,0.949,0.044,7.8819703373856e-180
"AT1G30700",8.30215585885111e-184,-8.4496609761487,0.05,0.6,1.70551187808378e-179
"AT1G51400",1.04487003570383e-183,2.28574201858166,0.999,0.431,2.14647651434638e-179
"AT1G59870",3.73322674813221e-183,-4.54300358647181,0.925,0.937,7.669167708688e-179
"AT3G12345",4.99329547284841e-183,2.4709789972773,0.93,0.038,1.02577268898725e-178
"AT5G23900",1.62499171324994e-182,2.58300156896854,0.955,0.055,3.33822047652934e-178
"AT5G01530",1.76476060910237e-182,1.36832286264312,1,0.96,3.625347719279e-178
"AT4G25740",3.80557467126022e-182,2.34722789832394,0.944,0.044,7.81779204716986e-178
"AT3G50685",5.90670739782251e-182,2.38537934476574,0.975,0.068,1.21341490073468e-177
"AT1G07590",6.92855095833667e-182,-3.03045547358279,0.973,0.956,1.4233322233711e-177
"AT1G12845",7.2584763860324e-181,4.22505975851463,0.863,0.006,1.49110880398264e-176
"AT2G05220",1.26608317819969e-180,2.42802800841442,0.959,0.057,2.60091467297562e-176
"AT3G26650",1.64573122942027e-180,1.94985268380863,0.998,0.474,3.38082566459806e-176
"AT2G34590",1.6713586651441e-180,2.55976049360721,0.908,0.03,3.43347210580553e-176
"AT3G61110",6.31273419632108e-180,2.02644869491578,0.949,0.049,1.29682498595024e-175
"AT1G52230",9.2916132217258e-180,2.34532831365554,0.998,0.328,1.90877610413913e-175
"AT4G14270",1.4544074990296e-179,3.11815119959384,0.907,0.034,2.9877893252565e-175
"AT5G02610",2.47923819505421e-179,2.92354866765951,0.89,0.021,5.09309902409986e-175
"AT2G39200",3.27581346155472e-179,-8.02547222994244,0.081,0.643,6.72950359407186e-175
"AT5G47700",3.96225919483244e-179,2.47725798870536,0.953,0.055,8.13966906394428e-175
"AT2G44650",1.83569162545059e-177,2.30134515885021,0.945,0.055,3.77106130616314e-173
"AT3G25520",1.11284595669343e-176,2.56519472599783,0.939,0.053,2.28611944883531e-172
"AT3G44890",8.43289533695183e-176,2.33710943863457,0.949,0.059,1.73236968907001e-171
"AT5G16030",1.26453071810826e-175,2.55448299787887,0.959,0.072,2.59772545420979e-171
"AT5G23740",1.76934029481142e-175,2.31553272388848,0.964,0.063,3.6347557676311e-171
"AT4G28030",2.18133884596554e-175,1.75493579588654,0.932,0.047,4.481124391267e-171
"AT2G30570",3.70135320582608e-175,1.39940127034135,1,0.89,7.60368989072851e-171
"AT5G08050",4.23535080087258e-175,2.95788213246626,0.865,0.015,8.70068115023253e-171
"AT2G27530",8.68416998764968e-175,2.28478151112253,0.957,0.063,1.78398904056287e-170
"AT4G01700",1.28104940719924e-174,-9.27510727486517,0.026,0.526,2.63165979720939e-170
"AT1G68520",1.76756202866517e-173,2.88802263378525,0.882,0.025,3.63110267548685e-169
"AT3G14930",2.79012719347229e-173,1.98144048286354,0.917,0.044,5.73175829355013e-169
"AT2G39460",3.88279523716435e-173,2.41725077814748,0.932,0.049,7.97642625570673e-169
"AT1G74730",9.52558170878456e-173,2.30075580089203,0.949,0.063,1.95684025043561e-168
"AT1G14540",1.87408495946138e-172,-7.36620970433287,0.093,0.647,3.84993273222151e-168
"AT2G36170",1.9108425888182e-172,2.87562104122556,0.884,0.027,3.92544393020923e-168
"AT1G11750",3.2224622502891e-172,1.82452696171427,0.949,0.059,6.6199042007689e-168
"AT5G21170",3.31365242752492e-172,2.39716286407573,0.912,0.042,6.80723618186444e-168
"AT2G21580",1.44260645860367e-171,2.22950112071327,0.922,0.049,2.96354644790952e-167
"AT2G37190",5.38072660475361e-171,2.32980383535895,0.89,0.032,1.10536266641454e-166
"AT2G43750",9.31718437500849e-171,2.18317276354896,0.919,0.047,1.91402918615799e-166
"AT1G54630",6.5430845282467e-170,2.15818963015284,0.918,0.047,1.34414585463772e-165
"AT4G18730",7.49829486388449e-170,2.27448742089227,0.93,0.053,1.54037471388779e-165
"AT3G56880",7.98317382061509e-170,2.44687455207358,0.966,0.08,1.63998339796896e-165
"AT1G73230",1.48578428791076e-169,1.73110866476624,0.95,0.061,3.05224666265507e-165
"AT5G53490",1.88715677025305e-169,1.69644726588492,0.926,0.053,3.87678615313085e-165
"AT1G04270",3.9118818503995e-169,1.88172272292679,0.921,0.049,8.0361788852757e-165
"AT2G33830",4.73783191845984e-169,2.08688117258455,0.999,0.622,9.73292811009205e-165
"AT4G08280",5.02457170280916e-169,2.27216853091498,0.895,0.038,1.03219776490809e-164
"AT5G52970",6.75498002662553e-169,1.89012240492901,0.944,0.063,1.38767554686968e-164
"AT3G22960",1.43748621979046e-168,2.00768377030342,0.897,0.038,2.95302794131555e-164
"AT1G20693",1.78421365014118e-168,1.90439664695852,0.962,0.072,3.66531010148504e-164
"AT2G36160",1.86156516980124e-168,2.0437985901199,0.969,0.076,3.82421332832269e-164
"AT3G60770",2.93180738405173e-168,1.94705261859007,0.945,0.061,6.02281190905747e-164
"AT1G34030",4.85670604906023e-168,1.87216526593458,0.91,0.047,9.97713123658444e-164
"AT4G30690",4.96452660106345e-168,1.75331185667046,0.948,0.068,1.01986269965646e-163
"AT3G18740",6.63696089423313e-168,2.06328605584464,0.952,0.066,1.36343087650231e-163
"AT4G18480",7.49651448955393e-168,2.18446981533882,0.903,0.044,1.54000897158906e-163
"AT3G14600",9.86934493151641e-168,2.18946491460018,0.915,0.049,2.02745952928142e-163
"AT5G27770",1.21377496519524e-167,2.02592528873812,0.935,0.063,2.49345791100058e-163
"AT2G05100",1.35650395680713e-167,2.70986265488231,0.996,0.338,2.78666607846888e-163
"AT1G20010",1.3738544062086e-167,1.93843551767346,0.915,0.051,2.82230910667432e-163
"AT5G45680",2.45909937272801e-167,2.00078700179468,0.888,0.036,5.05172784139514e-163
"AT1G29070",5.10800139473508e-167,2.32606058182975,0.995,0.256,1.04933672652043e-162
"AT5G56670",5.77821552653723e-167,2.01961316675891,0.92,0.053,1.18701881561654e-162
"AT2G17360",7.2768522508849e-167,2.02605872128657,0.934,0.059,1.49488375789929e-162
"AT5G64040",1.19315522839558e-166,1.79285880870439,0.999,0.643,2.45109878569304e-162
"AT4G35490",1.25185258115124e-166,1.92030227434747,0.895,0.04,2.57168075745899e-162
"AT2G18020",1.61511661023003e-166,2.34087047593732,0.973,0.093,3.31793405239554e-162
"AT4G26555",1.90111478422777e-166,1.93573532291733,0.923,0.055,3.90546010123911e-162
"AT3G04920",4.27263134595618e-166,1.71686705872227,0.907,0.047,8.77726657399777e-162
"AT2G24790",5.1365447453841e-166,1.69983869104868,0.939,0.063,1.05520038704426e-161
"AT4G09650",9.5031814740972e-166,2.19182055762881,0.961,0.08,1.95223857022379e-161
"AT3G16530",1.01104866607843e-165,-7.63151107676398,0.145,0.693,2.07699727472492e-161
"AT3G62530",1.06415721637538e-165,2.21237291899964,0.966,0.085,2.18609816959993e-161
"AT5G13510",1.27848073929997e-165,2.04769875095523,0.952,0.074,2.62638298274393e-161
"AT1G57720",1.52871068517843e-165,1.7851270203067,0.934,0.061,3.14043036056204e-161
"AT5G19510",2.09339762125326e-165,2.46650311161269,0.992,0.131,4.30046673334058e-161
"AT5G62300",2.80699083123258e-165,1.89127764833084,0.942,0.066,5.76640126460109e-161
"AT5G16130",3.40377319365892e-165,2.64062246195517,0.865,0.03,6.99237127173352e-161
"AT5G56710",3.69499977728186e-165,1.92432813312027,0.947,0.072,7.59063804247012e-161
"AT3G05560",3.91346923221083e-165,1.81316140290528,0.934,0.061,8.0394398437307e-161
"AT2G22670",8.51706811179688e-165,1.74506730675499,0.918,0.055,1.74966130220643e-160
"AT3G09200",9.38897284990018e-165,2.23673536499635,0.973,0.093,1.92877669255499e-160
"AT4G17600",1.0735569171735e-164,2.30835327110782,0.888,0.04,2.20540797494952e-160
"AT1G57860",1.12991001937725e-164,1.80197272404287,0.888,0.04,2.32117415280668e-160
"AT4G17390",1.56181546286028e-164,2.28257640992473,0.976,0.095,3.20843750535386e-160
"AT5G02960",1.73055749310962e-164,2.23860576919284,0.982,0.099,3.5550842580951e-160
"AT1G04480",2.43502428449545e-164,1.88901107533141,0.944,0.068,5.002270387639e-160
"AT5G13710",2.74608126565767e-164,1.85997379458167,0.902,0.047,5.64127474404055e-160
"AT4G14320",3.24271023847983e-164,1.81330962443417,0.918,0.055,6.66149964290911e-160
"AT1G22780",4.34514428530476e-164,2.02875009482592,0.905,0.049,8.92622990530157e-160
"AT3G01390",4.66225926388459e-164,1.74042999494009,0.889,0.04,9.57767920579812e-160
"AT1G23290",5.58068969503905e-164,1.95880768676114,0.861,0.027,1.14644108405187e-159
"AT3G02180",7.32108763390466e-164,2.08343151151557,0.892,0.044,1.50397103263303e-159
"POR C",9.14559274318357e-164,1.90069368259002,0.937,0.066,1.8787791172322e-159
"AT3G48930",1.99956468305592e-163,1.86503133680589,0.89,0.042,4.10770572840178e-159
"AT2G47610",2.04245038708082e-163,2.11962728604185,0.913,0.055,4.19580583018012e-159
"AT1G25440",2.38870347068659e-163,3.68497719157392,0.831,0.015,4.90711353983146e-159
"AT4G00895",3.48563136949595e-163,1.5842527868095,0.925,0.061,7.16053252235552e-159
"AT1G55670",3.59978492495259e-163,1.3809753038175,1,0.854,7.39503817133011e-159
"AT5G28060",3.69685830680719e-163,2.26637889959294,0.976,0.106,7.594456019674e-159
"AT3G04840",5.73177999396428e-163,1.9110805845671,0.889,0.042,1.17747956416008e-158
"AT1G08360",6.23948248577801e-163,2.08124657168686,0.964,0.089,1.28177688705338e-158
"AT4G16410",6.84332599156064e-163,1.71171615295661,0.885,0.042,1.4058244584463e-158
"AT2G01250",8.04475989479768e-163,1.92970233000511,0.955,0.078,1.65263502518829e-158
"AT5G27850",8.72412709197384e-163,2.09504438605969,0.961,0.087,1.79219742850419e-158
"AT4G24750",1.75550247597994e-162,2.09125729493799,0.883,0.042,3.6063287364056e-158
"AT4G26670",2.60235069863903e-162,2.14350161326925,0.857,0.03,5.34600904021416e-158
"AT3G11510",3.4194129974548e-162,1.91785103662647,0.967,0.087,7.0245001206714e-158
"AT1G03130",4.06667173540632e-162,2.42712715883644,0.996,0.228,8.3541637460452e-158
"AT2G20890",5.13572697732714e-162,1.91165973181784,0.966,0.087,1.05503239295231e-157
"AT5G57290",5.38229456133409e-162,1.79960213575096,0.934,0.066,1.10568477173486e-157
"AT2G47110",5.56694191413573e-162,1.38768206326157,0.926,0.061,1.1436168774209e-157
"AT5G27700",5.91104343341844e-162,2.01582978508542,0.982,0.099,1.21430565252715e-157
"AT3G46040",1.01753928831403e-161,1.77980926734447,0.906,0.053,2.09033095998351e-157
"AT4G01150",1.17225319278038e-161,1.5081098395991,1,0.71,2.40815973392873e-157
"AT4G31985",1.30123546032475e-161,1.98056583353203,0.882,0.04,2.67312800614514e-157
"AT4G31700",1.69767932577266e-161,1.98645610197916,0.908,0.053,3.48754263893478e-157
"AT5G54770",1.97857442838506e-161,1.50463747807901,1,0.863,4.06458544823143e-157
"AT1G32070",2.21851861331295e-161,2.0748079092791,0.881,0.042,4.55750278732879e-157
"AT4G26230",2.3272414603382e-161,1.53515796298029,0.89,0.044,4.78085213197277e-157
"AT5G16400",2.7087515366126e-161,1.65619138602145,0.925,0.061,5.56458828166327e-157
"AT1G02360",3.67667406093676e-161,-9.35574902767021,0.014,0.465,7.55299152338239e-157
"AT4G14960",4.4748208190229e-161,1.86016534133465,0.887,0.044,9.19262440851875e-157
"AT1G03600",4.69728245824413e-161,2.2934340782812,0.984,0.118,9.64962735397092e-157
"AT1G35420",5.62001343524347e-161,1.38466896972307,0.884,0.042,1.15451936000207e-156
"2-Cys Prx B",6.20045927442381e-161,1.76007702631308,0.911,0.055,1.27376034874488e-156
"AT5G19770",6.60024448660011e-161,1.42673576791544,0.894,0.047,1.35588822488226e-156
"AT3G16080",6.7426289380863e-161,1.55285230586753,0.92,0.059,1.38513826275107e-156
"AT5G39740",8.05514590037749e-161,1.94972545304386,0.891,0.047,1.65476862231455e-156
"AT1G17880",1.18439147602578e-160,1.86462041198208,0.961,0.087,2.43309540919976e-156
"AT1G07320",1.1892760677434e-160,1.93132603272111,0.974,0.095,2.44312982596527e-156
"AT1G03475",1.34639988234295e-160,1.61525614580993,0.9,0.051,2.76590927829713e-156
"AT3G02080",1.43821654035122e-160,1.78299608996312,0.974,0.091,2.95452823884351e-156
"AT2G36930",1.60195519483262e-160,2.13437134635707,0.863,0.034,3.29089655674466e-156
"AT3G55330",1.60290351276841e-160,1.65887368075268,0.95,0.076,3.29284468628014e-156
"AT2G17240",2.18589594887674e-160,1.74780895981424,0.902,0.053,4.49048604777748e-156
"AT4G31720",2.63668317885692e-160,1.52696896981421,0.868,0.036,5.41653825432577e-156
"AT1G76100",2.81498348852277e-160,1.69037381058967,0.955,0.078,5.78282058047233e-156
"AT3G53020",8.95952584229667e-160,1.87328934595582,0.973,0.093,1.84055539378301e-155
"AT5G61170",1.94096319530129e-159,1.92681528170031,0.865,0.036,3.98732069210744e-155
"AT3G05590",1.99661582103179e-159,1.75524290453479,0.942,0.074,4.10164788114561e-155
"AT5G52650",2.08617885566425e-159,2.02782219830787,0.949,0.08,4.28563722319107e-155
"AT4G15000",2.89979552888437e-159,2.12473746774948,0.86,0.034,5.95704995498716e-155
"AT1G78630",3.15862345797064e-159,2.34071650195475,0.987,0.148,6.48876016970908e-155
"AT3G56650",4.76901797486337e-159,1.46832003919986,0.864,0.036,9.79699362576182e-155
"AT3G53460",6.19487408943509e-159,2.37659625405721,0.991,0.163,1.27261298419265e-154
"AT5G42190",6.48114545999228e-159,1.33315069687524,0.915,0.059,1.33142171184621e-154
"AT3G59540",6.94297445311477e-159,1.66104723058717,0.94,0.076,1.42629524190337e-154
"AT1G52740",1.52390997780647e-158,1.79977295041821,0.955,0.087,3.13056826740783e-154
"AT5G64140",1.61019646031837e-158,1.86101024046952,0.867,0.038,3.30782658843202e-154
"AT1G32640",2.07737077252462e-158,1.99014772556453,0.941,0.082,4.26754277799733e-154
"AT1G41880",2.85795520312167e-158,1.86975942595748,0.885,0.047,5.87109737377284e-154
"AT1G74270",3.36388325058395e-158,1.4544079222144,0.917,0.061,6.91042536167462e-154
"AT5G51110",5.0561545278669e-158,1.4374913023004,0.927,0.07,1.0386858246597e-153
"AT5G46430",5.07498162673833e-158,2.21721123933478,0.83,0.021,1.04255347558086e-153
"AT3G22230",6.01109831372678e-158,1.47078506962158,0.88,0.044,1.23485992658889e-153
"AT4G35250",6.22750442561842e-158,1.99126450372981,0.891,0.053,1.27931623415479e-153
"AT3G07110",6.56704810016904e-158,2.02347545131883,0.87,0.04,1.34906869121773e-153
"AT5G62720",9.55678749295763e-158,1.75603643728155,0.929,0.07,1.96325085467829e-153
"AT5G24314",1.02353200836511e-157,1.56160390373346,0.959,0.095,2.10264180478445e-153
"AT5G37770",1.52071246199574e-157,2.12577138203007,0.869,0.042,3.12399961067786e-153
"AT5G09510",1.56959787284878e-157,1.77746905778854,0.913,0.061,3.22442491019324e-153
"AT4G29390",1.92660526889967e-157,1.75520468862015,0.922,0.066,3.95782520390058e-153
"AT1G61560",1.9841468087068e-157,-8.11930079726979,0.046,0.535,4.07603278912638e-153
"AT5G21920",2.01176910955978e-157,1.97609666084917,0.848,0.032,4.13277728176866e-153
"AT3G21520",2.47937500207573e-157,-9.45824163820467,0.029,0.497,5.09338006676418e-153
"AT2G47450",2.78589022872655e-157,1.64756304678469,0.89,0.053,5.72305429687295e-153
"AT3G17210",3.45234170253771e-157,1.31664946742277,0.887,0.049,7.09214555952322e-153
"AT5G07090",5.05756267946984e-157,1.78225307398062,0.934,0.074,1.03897510124349e-152
"AT1G74050",5.58044387927349e-157,1.64805268197738,0.907,0.059,1.14639058611915e-152
"AT1G50900",5.68281173244642e-157,1.98296922159939,0.881,0.049,1.16742001419647e-152
"AT1G30380",6.35838529689593e-157,1.69395443186022,0.997,0.529,1.30620309154133e-152
"AT3G53740",6.47570465303877e-157,1.7807694516473,0.979,0.108,1.33030400687376e-152
"AT3G10520",7.61902539879894e-157,1.65690589495056,0.849,0.032,1.56517638767527e-152
"AT3G52150",8.9868251155787e-157,1.73388284058071,0.971,0.097,1.84616348349333e-152
"AT3G10930",9.30820287941725e-157,3.5451831106422,0.82,0.021,1.91218411751869e-152
"AT1G77940",1.21075998023013e-156,1.72439432476663,0.876,0.044,2.48726422738675e-152
"AT4G00810",1.24539645199049e-156,1.81040153979774,0.971,0.099,2.55841793132406e-152
"AT1G19350",1.368365451914e-156,3.25179817276041,0.808,0.013,2.81103314786694e-152
"AT1G11430",1.41191613637437e-156,1.67495214523225,0.876,0.047,2.90049931895387e-152
"AT4G14870",1.5430920900168e-156,1.58751889683525,0.853,0.034,3.16997408052151e-152
"AT3G56340",1.56511391267143e-156,1.70626079637392,0.967,0.093,3.21521351080093e-152
"AT1G74450",2.06852510312169e-156,2.27154485760915,0.965,0.106,4.24937111934288e-152
"AT4G39040",2.41066513753627e-156,1.72059435608636,0.856,0.036,4.95222939204075e-152
"AT5G66650",2.46144787270219e-156,2.79827944351581,0.849,0.036,5.0565523648921e-152
"AT3G56010",2.72783771941715e-156,1.39106103811762,0.887,0.051,5.60379702699866e-152
"AT4G18100",3.09005977666396e-156,1.98147166838354,0.96,0.093,6.34790979920078e-152
"AT1G08110",6.45388118047221e-156,1.39112081793192,0.95,0.082,1.32582081090441e-151
"AT2G19740",7.66910396899297e-156,1.6008006126809,0.886,0.051,1.57546402835023e-151
"AT1G19000",7.76540494289607e-156,1.48615639837833,0.954,0.087,1.59524713741914e-151
"AT1G33120",8.29141109981967e-156,1.84331855566555,0.961,0.091,1.70330458223595e-151
"AT5G03610",8.74258851855232e-156,-8.9964322161408,0.064,0.564,1.7959899593662e-151
"AT3G63140",1.12071897216686e-155,2.16228889162174,0.981,0.114,2.30229298452239e-151
"AT1G74930",1.15889225782294e-155,2.86315326573456,0.826,0.023,2.38071236524567e-151
"AT2G43560",1.35715485432201e-155,1.76570580958279,0.959,0.093,2.7880032172337e-151
"AT3G24430",1.61830462054922e-155,2.13376476034984,0.841,0.032,3.32448318199427e-151
"AT4G39970",2.20547242414265e-155,1.47007943463932,0.887,0.051,4.53070200091624e-151
"AT2G31040",2.39789045430783e-155,1.38114697312463,0.923,0.07,4.92598636028458e-151
"AT3G19820",3.35792314432999e-155,1.75249259275349,0.921,0.072,6.8981815153971e-151
"AT5G09650",3.36891648854898e-155,1.69247204346278,0.882,0.051,6.92076514242617e-151
"AT2G33370",4.54783347894443e-155,2.04519503186324,0.878,0.049,9.34261431579554e-151
"AT2G32060",5.57088816557556e-155,3.76316431424533,0.798,0.011,1.14442755585419e-150
"AT3G56020",5.95528675025173e-155,1.49428855027904,0.912,0.066,1.22339455710421e-150
"AT2G39470",7.72677614803586e-155,1.22963697404461,0.925,0.072,1.58731162409101e-150
"AT5G02120",9.39101510669442e-155,1.50425876107411,0.936,0.076,1.92919623336823e-150
"AT1G16880",1.26939560469502e-154,1.16409848676148,0.917,0.068,2.60771939072498e-150
"AT2G23670",2.29679119995083e-154,1.94919777625434,0.846,0.036,4.718298162059e-150
"AT3G08740",2.35025616465782e-154,2.51659485439355,0.826,0.025,4.82813123905656e-150
"AT4G33670",2.94800873011567e-154,1.51457874625767,0.883,0.051,6.05609433427662e-150
"AT2G35410",2.95325036183974e-154,1.76936957445202,0.843,0.034,6.06686221832738e-150
"AT3G26740",5.05665249662725e-154,2.11178437945859,0.999,0.317,1.03878812238214e-149
"AT2G43460",5.71799555812898e-154,1.64311861806073,0.955,0.091,1.17464782750644e-149
"AT2G06520",6.08228463573973e-154,1.50867321304918,1,0.736,1.24948373272001e-149
"AT3G15450",6.32037923873693e-154,2.43342818152774,0.941,0.099,1.29839550701373e-149
"AT4G30650",6.67056320255993e-154,2.12104310366734,0.997,0.347,1.37033379870189e-149
"AT2G01590",8.18540738936162e-154,1.92132737400892,0.839,0.032,1.68152823999656e-149
"AT5G02840",8.20043966241439e-154,2.40563184576633,0.846,0.036,1.68461631984979e-149
"AT3G62550",1.23527690296924e-153,2.17985855235659,0.917,0.078,2.53762934176971e-149
"AT5G47190",1.39085098596388e-153,1.96148221009557,0.973,0.104,2.8572251804656e-149
"AT3G53870",1.47032511103592e-153,1.58546999554084,0.93,0.076,3.0204888756011e-149
"AT4G31560",1.69777582011111e-153,1.50208119289276,0.882,0.053,3.48774086725426e-149
"AT2G46280",2.02033561104547e-153,1.87480213011725,0.86,0.042,4.1503754457707e-149
"AT3G01480",2.22683134245234e-153,1.97279785393638,0.834,0.03,4.57457962679984e-149
"AT3G04550",2.34136195407191e-153,2.4017967042743,0.816,0.021,4.80985986224993e-149
"AT2G36130",3.27367658058966e-153,2.24201249909647,0.81,0.019,6.72511379950533e-149
"AT5G60340",3.6300532809104e-153,1.95921633777698,0.823,0.025,7.45721845497423e-149
"AT2G40510",5.44411061240479e-153,1.58095140662514,0.955,0.087,1.11838364310632e-148
"AT3G51820",5.60895606456404e-153,1.54313397854068,0.914,0.068,1.15224784434339e-148
"AT5G55190",5.61001317393954e-153,1.44771806063653,0.912,0.068,1.1524650063224e-148
"AT4G38225",5.95485444513402e-153,1.15706701189897,0.912,0.068,1.22330574866388e-148
"AT1G33810",6.66377491981842e-153,1.15024576917189,0.917,0.07,1.3689392817783e-148
"AT2G35260",7.4287456126002e-153,2.22189196325848,0.81,0.019,1.52608721119646e-148
"AT5G47110",9.42738092999529e-153,1.45475025739081,0.94,0.082,1.93666686444893e-148
"AT2G19730",1.17901869643334e-152,1.86859588724634,0.972,0.11,2.422058108083e-148
"AT3G60600",1.45229036929014e-152,1.37044782370118,0.898,0.061,2.98344010563274e-148
"AT4G27700",1.55439946697025e-152,2.08609845969277,0.8,0.015,3.19320282499699e-148
"AT5G02450",2.53194094008031e-152,1.4625993080709,0.94,0.08,5.20136627320697e-148
"AT1G27400",2.93271594154639e-152,1.48294855784661,0.907,0.066,6.02467835871874e-148
"AT1G12090",3.10595469310634e-152,2.14252810060713,0.965,0.112,6.38056272604836e-148
"AT4G39710",3.55406242193795e-152,1.67560830988204,0.875,0.051,7.30111043338714e-148
"AT2G24020",3.78173668332273e-152,1.40300067049073,0.905,0.066,7.76882166854989e-148
"AT4G13640",3.81261421555411e-152,1.32345704607101,0.848,0.038,7.83225338301281e-148
"AT2G20270",4.88037231935403e-152,1.62695544107855,0.882,0.055,1.0025748855649e-147
"AT1G75800",5.42998600358754e-152,1.66091910274737,0.876,0.053,1.11548202471699e-147
"AT2G24090",8.72218368622822e-152,2.27227835436706,0.989,0.171,1.79179819466186e-147
"AT4G13830",1.012384367967e-151,1.43336375808625,0.893,0.061,2.0797412071146e-147
"AT3G56360",1.02102279920977e-151,2.20007637794237,0.982,0.142,2.09748713641662e-147
"AT3G53470",1.64474965040853e-151,1.60098096626809,0.838,0.036,3.37880920683423e-147
"AT1G10960",1.72372424296788e-151,1.57660892956463,0.852,0.04,3.54104671232892e-147
"AT1G09340",2.06552923465983e-151,2.21421642973953,0.984,0.144,4.24321670676168e-147
