,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,significant,p_val_adj_plot,gene,cluster
2481,9.33E-24,0.619528095,0.283,0.235,1.92E-19,Yes,1.92E-19,AT2G16860,"8, 9, 11, 13, 18"
2482,9.54E-24,0.394383911,0.31,0.26,1.96E-19,No,1.96E-19,AT4G28770,"3, 6, 9, 10, 14, 15, 18"
2483,9.74E-24,0.424213114,0.283,0.226,2.00E-19,No,2.00E-19,AT1G17170,"0, 7, 10, 12, 16"
2484,1.10E-23,-0.368348601,0.353,0.426,2.26E-19,No,2.26E-19,AT4G29010,"0, 1, 2, 3, 10"
2485,1.13E-23,0.508312635,0.428,0.396,2.32E-19,Yes,2.32E-19,AT2G36130,"5, 8, 11, 12, 13, 18"
2486,1.14E-23,0.647222006,0.255,0.207,2.35E-19,Yes,2.35E-19,AT5G52210,"9, 11, 13"
2487,1.32E-23,-0.336249438,0.658,0.7,2.71E-19,No,2.71E-19,ATCG00710,"0, 1, 2, 3, 14"
2488,1.47E-23,0.736610872,0.273,0.228,3.03E-19,Yes,3.03E-19,AT4G27750,"8, 11, 12, 13, 16"
2489,1.54E-23,0.271567761,0.417,0.371,3.16E-19,No,3.16E-19,AT3G52850,"3, 6, 18"
2490,1.69E-23,0.50038149,0.356,0.306,3.47E-19,Yes,3.47E-19,AT1G80040,"0, 6, 9, 10, 12, 16, 17, 18"
2491,1.86E-23,0.512872462,0.368,0.326,3.82E-19,Yes,3.82E-19,AT5G60620,"6, 9, 12, 13, 14, 18"
2492,2.00E-23,-0.404054336,0.223,0.289,4.10E-19,No,4.10E-19,ATCG00750,"3, 6, 14, 15"
2493,2.04E-23,-0.339524049,0.58,0.647,4.19E-19,No,4.19E-19,AT2G16900,"0, 2, 10"
2494,2.13E-23,-0.313599095,0.374,0.445,4.38E-19,No,4.38E-19,AT1G05100,"0, 2, 3, 7, 16"
2495,2.70E-23,0.586221504,0.351,0.309,5.55E-19,Yes,5.55E-19,AT5G09920,"8, 9, 10, 11, 12, 13"
2496,3.33E-23,0.555718488,0.359,0.318,6.83E-19,Yes,6.83E-19,AT5G65260,"7, 9, 11, 12, 13, 15"
2497,4.32E-23,0.341035703,0.467,0.43,8.87E-19,No,8.87E-19,AT2G35680,"8, 9, 11, 12, 15, 18"
2498,4.74E-23,-0.638295776,0.647,0.691,9.74E-19,Yes,9.74E-19,AT2G05380,"0, 3, 6, 14"
2499,5.16E-23,0.494035265,0.487,0.442,1.06E-18,No,1.06E-18,AT1G02930,"0, 9, 10, 13"
2500,5.96E-23,0.331259765,0.301,0.245,1.22E-18,No,1.22E-18,AT3G15518,"2, 7, 9, 10"
2501,6.53E-23,0.335876844,0.576,0.534,1.34E-18,No,1.34E-18,AT4G16720,"4, 5, 9, 11, 13, 18"
2502,7.22E-23,0.656163318,0.301,0.255,1.48E-18,Yes,1.48E-18,AT3G10210,"8, 11, 12, 13, 18"
2503,8.25E-23,0.409389004,0.523,0.489,1.70E-18,No,1.70E-18,AT3G53890,"4, 7, 9, 10, 13, 16"
2504,1.06E-22,0.507107134,0.377,0.328,2.18E-18,Yes,2.18E-18,AT3G07560,"6, 7, 8, 9, 16, 18"
2505,1.07E-22,0.606979535,0.304,0.261,2.19E-18,Yes,2.19E-18,AT4G39100,"8, 9, 11, 12, 13, 18"
2506,1.14E-22,0.583810175,0.353,0.311,2.33E-18,Yes,2.33E-18,AT2G14260,"8, 9, 13"
2507,1.15E-22,0.637182955,0.277,0.228,2.37E-18,Yes,2.37E-18,AT3G25230,"6, 9, 10, 12, 16, 17, 18"
2508,1.16E-22,-0.529109352,0.257,0.319,2.39E-18,Yes,2.39E-18,AT2G35510,"0, 2, 3, 7, 14"
2509,1.22E-22,-0.279857676,0.201,0.264,2.50E-18,No,2.50E-18,AT5G14660,"1, 4, 5, 11"
2510,1.27E-22,0.676764514,0.277,0.231,2.62E-18,Yes,2.62E-18,AT5G19350,"8, 9, 11, 12, 13, 16"
2511,1.29E-22,0.444158046,0.525,0.494,2.66E-18,No,2.66E-18,AT2G19740,"7, 9, 13, 18"
2512,1.33E-22,0.399828301,0.541,0.509,2.73E-18,No,2.73E-18,AT5G55190,"5, 7, 8, 11, 12, 13, 16, 18"
2513,1.41E-22,0.289233327,0.608,0.586,2.90E-18,No,2.90E-18,AT5G14780,"1, 8, 10, 11, 12, 13"
2514,1.58E-22,0.368847031,0.526,0.487,3.25E-18,No,3.25E-18,AT1G04270,"4, 5, 9, 11, 13, 18"
2515,1.64E-22,0.284338747,0.602,0.578,3.37E-18,No,3.37E-18,AT4G29160,"0, 7, 9, 10, 16"
2516,1.91E-22,0.270405094,0.362,0.301,3.93E-18,No,3.93E-18,AT1G08940,"0, 6, 7, 9, 10"
2517,1.97E-22,0.490955714,0.344,0.302,4.04E-18,No,4.04E-18,AT2G01470,"7, 9, 11, 13, 18"
2518,2.00E-22,0.655150992,0.253,0.207,4.11E-18,Yes,4.11E-18,AT4G38130,"9, 11, 12, 13"
2519,2.04E-22,0.626590039,0.298,0.252,4.20E-18,Yes,4.20E-18,AT1G19400,"8, 9, 11, 12, 17, 18"
2520,2.20E-22,-0.397818937,0.296,0.364,4.51E-18,No,4.51E-18,AT1G07660,"0, 2, 3, 7, 9, 10, 14"
2521,2.32E-22,0.412739609,0.428,0.384,4.77E-18,No,4.77E-18,AT5G04760,"7, 11, 12, 16, 17, 18"
