"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"AT1G14880",0,7.1212194568234,0.9,0.083,0,"AT1G14880","Yes"
"AT2G24850",0,6.08915217185792,0.856,0.08,0,"AT2G24850","Yes"
"AT2G39030",0,4.25900593278813,0.767,0.123,0,"AT2G39030","Yes"
"AT1G43160",0,4.07214140044667,0.766,0.201,0,"AT1G43160","Yes"
"AT2G34500",0,5.22460930810748,0.647,0.099,0,"AT2G34500","Yes"
"AT5G03350",0,6.12181471502308,0.574,0.043,0,"AT5G03350","Yes"
"AT3G16240",0,-1.52971975177254,0.299,0.82,0,"AT3G16240","Yes"
"AT4G02520",0,3.92665849302467,0.83,0.325,0,"AT4G02520","Yes"
"AT2G45180",0,-1.71985040767612,0.376,0.872,0,"AT2G45180","Yes"
"AT3G60415",0,4.7819322069206,0.719,0.226,0,"AT3G60415","Yes"
"AT1G15520",0,3.99427899228138,0.671,0.179,0,"AT1G15520","Yes"
"AT2G43570",0,6.16058191104093,0.528,0.037,0,"AT2G43570","Yes"
"AT2G14610",0,7.79396310350506,0.508,0.018,0,"AT2G14610","Yes"
"AT5G02160",0,-1.5795123136835,0.408,0.885,0,"AT5G02160","Yes"
"AT5G16030",0,-1.51960875391231,0.322,0.796,0,"AT5G16030","Yes"
"AT4G08870",0,3.13337732406444,0.825,0.353,0,"AT4G08870","Yes"
"AT1G13340",0,3.96427372366745,0.624,0.153,0,"AT1G13340","Yes"
"AT3G22600",0,4.91676999070351,0.546,0.076,0,"AT3G22600","Yes"
"AT4G04330",0,-1.39467537366885,0.394,0.863,0,"AT4G04330","Yes"
"AT3G26520",0,-1.43660911514273,0.42,0.878,0,"AT3G26520","Yes"
"AT1G57630",0,3.86223634538511,0.588,0.13,0,"AT1G57630","Yes"
"AT5G13080",0,4.5298468959274,0.502,0.049,0,"AT5G13080","Yes"
"AT4G26530",0,-1.99129097158384,0.27,0.722,0,"AT4G26530","Yes"
"AT1G72610",0,-1.8462108737035,0.479,0.929,0,"AT1G72610","Yes"
"AT5G42530",0,3.405931000021,0.962,0.513,0,"AT5G42530","Yes"
"AT4G32340",0,-1.60648224943597,0.471,0.917,0,"AT4G32340","Yes"
"AT3G49120",0,2.99979484704608,0.711,0.27,0,"AT3G49120","Yes"
"AT3G22235",0,4.74319548994214,0.472,0.034,0,"AT3G22235","Yes"
"AT1G20450",0,-1.20155492394393,0.511,0.948,0,"AT1G20450","Yes"
"AT1G69930",0,3.79375247583008,0.551,0.117,0,"AT1G69930","Yes"
"AT4G37990",0,3.69570717963286,0.803,0.369,0,"AT4G37990","Yes"
"AT2G14560",0,6.84797664836023,0.441,0.009,0,"AT2G14560","Yes"
"AT2G06850",0,-1.87687046630952,0.234,0.664,0,"AT2G06850","Yes"
"AT2G15970",0,-1.73209884889947,0.277,0.707,0,"AT2G15970","Yes"
"AT4G11890",0,3.75095312495929,0.526,0.098,0,"AT4G11890","Yes"
"AT1G20010",0,-1.4724989908412,0.281,0.706,0,"AT1G20010","Yes"
"AT3G55970",0,2.81408047468305,0.72,0.303,0,"AT3G55970","Yes"
"AT3G10720",0,-1.93996089914785,0.226,0.64,0,"AT3G10720","Yes"
"AT1G55330",0,-1.66938495131347,0.339,0.751,0,"AT1G55330","Yes"
"AT1G12090",0,-1.43360172414226,0.326,0.737,0,"AT1G12090","Yes"
"AT2G33830",0,-1.66835124531364,0.566,0.974,0,"AT2G33830","Yes"
"AT1G03850",0,3.41010920111887,0.532,0.13,0,"AT1G03850","Yes"
"AT5G15960",0,-2.35461678497309,0.204,0.606,0,"AT5G15960","Yes"
"AT4G30660",0,-1.30798490229443,0.416,0.818,0,"AT4G30660","Yes"
"AT2G30550",0,3.45685581792805,0.529,0.128,0,"AT2G30550","Yes"
"AT3G18250",0,5.59778273866394,0.422,0.022,0,"AT3G18250","Yes"
"AT4G30650",0,-1.62151015090062,0.562,0.962,0,"AT4G30650","Yes"
"AT5G38430",0,-1.55732283678899,0.452,0.85,0,"AT5G38430","Yes"
"AT2G28900",0,-1.59951039049122,0.572,0.968,0,"AT2G28900","Yes"
"AT2G38465",0,-2.11411712373922,0.152,0.546,0,"AT2G38465","Yes"
"AT1G17745",0,5.03767146302607,0.421,0.027,0,"AT1G17745","Yes"
"AT2G04450",0,5.63694914469603,0.402,0.013,0,"AT2G04450","Yes"
"AT5G57560",0,-1.63106392164894,0.565,0.952,0,"AT5G57560","Yes"
"AT1G53170",0,-1.27983824237475,0.481,0.867,0,"AT1G53170","Yes"
"AT2G29630",0,-1.34381289762131,0.488,0.874,0,"AT2G29630","Yes"
"AT1G28330",0,-1.48786112574375,0.586,0.97,0,"AT1G28330","Yes"
"AT5G25250",0,2.26040439265415,0.653,0.273,0,"AT5G25250","Yes"
"AT3G63160",0,-1.73093946809281,0.585,0.963,0,"AT3G63160","Yes"
"AT4G34410",0,-1.48606239875783,0.525,0.901,0,"AT4G34410","Yes"
"AT1G10760",0,-1.42231191882497,0.426,0.8,0,"AT1G10760","Yes"
"AT2G43510",0,2.27278927860778,0.737,0.368,0,"AT2G43510","Yes"
"AT3G03470",0,4.12516447071331,0.467,0.112,0,"AT3G03470","Yes"
"AT1G21250",0,3.96072116420018,0.396,0.042,0,"AT1G21250","Yes"
"AT1G15790",0,3.8826139395716,0.409,0.056,0,"AT1G15790","Yes"
"AT4G24570",0,-1.40999928440747,0.48,0.832,0,"AT4G24570","Yes"
"AT5G24490",0,-1.40735341690531,0.604,0.956,0,"AT5G24490","Yes"
"AT2G41090",0,1.8545176807863,0.66,0.309,0,"AT2G41090","Yes"
"AT3G05490",0,-1.30023816327735,0.529,0.879,0,"AT3G05490","Yes"
"AT5G38420",0,-1.41714795580299,0.51,0.86,0,"AT5G38420","Yes"
"AT3G26830",0,5.86206289525875,0.367,0.018,0,"AT3G26830","Yes"
"AT1G03600",0,-1.17982838870011,0.506,0.852,0,"AT1G03600","Yes"
"AT1G19380",0,-1.14945324543965,0.592,0.931,0,"AT1G19380","Yes"
"AT1G31580",0,3.08911631674501,0.926,0.587,0,"AT1G31580","Yes"
"AT4G23600",0,1.65190183717542,0.909,0.571,0,"AT4G23600","Yes"
"AT1G33960",0,6.81277400004921,0.346,0.009,0,"AT1G33960","Yes"
"AT2G29460",0,2.3062434306268,0.803,0.469,0,"AT2G29460","Yes"
"AT1G61800",0,5.51839054283704,0.369,0.037,0,"AT1G61800","Yes"
"AT5G17870",0,-1.17218868726877,0.586,0.915,0,"AT5G17870","Yes"
"AT4G22305",0,3.85486197168042,0.381,0.052,0,"AT4G22305","Yes"
"AT1G32470",0,-1.15130634966826,0.547,0.873,0,"AT1G32470","Yes"
"AT2G42530",0,-1.62360083324609,0.556,0.876,0,"AT2G42530","Yes"
"AT1G20020",0,-1.15883219267888,0.586,0.905,0,"AT1G20020","Yes"
"AT1G29395",0,-1.7342566960769,0.594,0.913,0,"AT1G29395","Yes"
"AT1G15010",0,-1.26575617770962,0.629,0.936,0,"AT1G15010","Yes"
"AT5G26690",0,5.73070476044512,0.312,0.007,0,"AT5G26690","Yes"
"AT1G54410",0,-1.27826733684362,0.654,0.959,0,"AT1G54410","Yes"
"AT3G13910",0,2.59470913313345,0.716,0.412,0,"AT3G13910","Yes"
"AT2G25510",0,4.19290850488225,0.997,0.696,0,"AT2G25510","Yes"
"AT1G13930",0,-1.25989804627532,0.638,0.936,0,"AT1G13930","Yes"
"AT3G47070",0,-1.29223979934964,0.572,0.867,0,"AT3G47070","Yes"
"AT2G26400",0,8.2035686191325,0.29,0,0,"AT2G26400","Yes"
"AT3G14415",0,-0.980164378529896,0.647,0.927,0,"AT3G14415","Yes"
"AT3G03150",0,-0.989097777908603,0.661,0.938,0,"AT3G03150","Yes"
"AT2G38140",0,-1.02606286552481,0.64,0.914,0,"AT2G38140","Yes"
"AT3G46780",0,-1.07077836144164,0.619,0.892,0,"AT3G46780","Yes"
"AT5G46110",0,-1.05923061494574,0.63,0.902,0,"AT5G46110","Yes"
"AT5G22060",0,2.11834743443233,0.784,0.517,0,"AT5G22060","Yes"
"AT1G05190",0,-1.06964760147303,0.667,0.925,0,"AT1G05190","Yes"
"AT1G55450",0,-1.13245233883847,0.671,0.927,0,"AT1G55450","Yes"
"AT5G65220",0,-1.05372975873369,0.658,0.913,0,"AT5G65220","Yes"
"AT1G73885",0,-1.02755195764649,0.657,0.911,0,"AT1G73885","Yes"
"AT2G13360",0,-0.977505143334674,0.7,0.937,0,"AT2G13360","Yes"
"AT2G34430",0,-1.74196802341968,0.764,0.996,0,"AT2G34430","Yes"
"AT1G51400",0,-1.32698465598394,0.71,0.936,0,"AT1G51400","Yes"
"AT1G07135",0,-1.30150944638598,0.765,0.989,0,"AT1G07135","Yes"
"AT5G26340",0,2.37828226994897,0.877,0.657,0,"AT5G26340","Yes"
"AT1G21500",0,-0.918335919213887,0.744,0.959,0,"AT1G21500","Yes"
"AT2G21660",0,-1.28449566945716,0.779,0.994,0,"AT2G21660","Yes"
"AT4G21980",0,2.65394856300724,0.773,0.583,0,"AT4G21980","Yes"
"AT5G64040",0,-1.13479658562157,0.795,0.97,0,"AT5G64040","Yes"
"AT3G21055",0,-1.14256164449312,0.834,0.971,0,"AT3G21055","Yes"
"AT5G54270",0,-1.22369930221202,0.856,0.979,0,"AT5G54270","Yes"
"AT2G06520",0,-1.05685087663813,0.872,0.975,0,"AT2G06520","Yes"
"AT5G39950",0,1.97065705082202,0.853,0.751,0,"AT5G39950","Yes"
"AT1G30380",0,-0.95133378555906,0.876,0.975,0,"AT1G30380","Yes"
"AT5G15970",0,-1.27728923198926,0.899,0.998,0,"AT5G15970","Yes"
"AT5G38410",0,-1.17061364318145,0.893,0.989,0,"AT5G38410","Yes"
"AT4G05180",0,-0.935356709153709,0.901,0.987,0,"AT4G05180","Yes"
"AT1G77370",0,1.73315336894241,0.837,0.755,0,"AT1G77370","Yes"
"AT5G54770",0,-1.13453914041242,0.927,0.991,0,"AT5G54770","Yes"
"AT1G06680",0,-1.09843974536503,0.923,0.986,0,"AT1G06680","Yes"
"AT4G02380",0,2.9146777661074,0.998,0.936,0,"AT4G02380","Yes"
"AT1G55670",0,-1.10293449750588,0.942,0.993,0,"AT1G55670","Yes"
"ATCG01020",0,-0.7316572046893,0.942,0.987,0,"ATCG01020","Yes"
"AT1G08380",0,-1.02535762344995,0.954,0.996,0,"AT1G08380","Yes"
"AT4G10340",0,-1.11188823520337,0.959,0.998,0,"AT4G10340","Yes"
"AT1G15120",0,1.47175014942603,0.87,0.838,0,"AT1G15120","Yes"
"AT1G22840",0,1.64645558843647,0.916,0.885,0,"AT1G22840","Yes"
"AT3G54890",0,-0.946965407609467,0.974,0.999,0,"AT3G54890","Yes"
"AT2G30570",0,-0.822587292163451,0.977,0.995,0,"AT2G30570","Yes"
"AT1G29930",0,-1.00394837709637,0.984,1,0,"AT1G29930","Yes"
"AT1G31330",0,-0.926819496796139,0.984,0.999,0,"AT1G31330","Yes"
"AT3G61470",0,-0.862439840042763,0.988,1,0,"AT3G61470","Yes"
"AT1G78380",0,1.56002610057726,0.997,0.987,0,"AT1G78380","Yes"
"AT3G48140",0,1.25649255660457,0.939,0.93,0,"AT3G48140","Yes"
"AT3G16640",0,0.963138710282375,0.981,0.986,0,"AT3G16640","Yes"
"AT5G53300",0,1.08765767281389,0.978,0.982,0,"AT5G53300","Yes"
"AT5G42980",0,1.01206305790844,0.966,0.969,0,"AT5G42980","Yes"
"AT2G20260",9.88131291682493e-324,-0.779613663904742,0.929,0.986,2.02991811250335e-319,"AT2G20260","Yes"
"AT4G20110",6.91691904177745e-323,3.93708244549185,0.375,0.053,1.42094267875234e-318,"AT4G20110","Yes"
"AT1G02450",1.92685601878086e-321,4.35589816775728,0.358,0.041,3.95834031938152e-317,"AT1G02450","Yes"
"AT1G65980",3.04344437838208e-321,1.38728903813416,0.921,0.922,6.2521477865103e-317,"AT1G65980","Yes"
"AT3G08940",5.70151755300799e-321,-1.1547861441059,0.688,0.93,1.17126275091443e-316,"AT3G08940","Yes"
"AT5G66210",2.06223000574136e-320,-1.0957029930601,0.574,0.887,4.23643910079448e-316,"AT5G66210","Yes"
"AT1G32060",1.16787237363954e-319,-1.19935023522112,0.456,0.81,2.3991602171677e-315,"AT1G32060","Yes"
"AT1G45145",1.28081578027885e-319,1.16574307300285,0.985,0.925,2.63117985742684e-315,"AT1G45145","Yes"
"AT3G50480",4.10064604735318e-319,1.70954686728334,0.8,0.535,8.42395717507763e-315,"AT3G50480","Yes"
"AT3G46970",1.18504609548898e-318,-1.369678607548,0.343,0.733,2.43444019396301e-314,"AT3G46970","Yes"
"AT5G59570",1.3985417423699e-318,-1.51004630949359,0.298,0.691,2.87302430135049e-314,"AT5G59570","Yes"
"AT5G03610",4.04685217983398e-318,2.39771711643543,0.484,0.122,8.31344843303295e-314,"AT5G03610","Yes"
"AT5G43150",6.14411143986549e-318,3.54612816984188,0.538,0.213,1.26218481309157e-313,"AT5G43150","Yes"
"AT1G61520",9.50199895788677e-318,-0.914309797881654,0.976,0.997,1.95199564591868e-313,"AT1G61520","Yes"
"AT1G62300",1.89070780461602e-316,2.47655658937516,0.625,0.285,3.88408104302268e-312,"AT1G62300","Yes"
"AT1G79040",8.660092520505e-316,-0.773389579720038,0.999,1,1.77904280648734e-311,"AT1G79040","Yes"
"AT3G14210",5.95397580959872e-315,-1.6862963586515,0.256,0.652,1.22312525056587e-310,"AT3G14210","Yes"
"AT1G56220",6.17777052166265e-315,-1.22680833835839,0.574,0.87,1.26909939826516e-310,"AT1G56220","Yes"
"AT3G01500",3.24672314908593e-313,-1.16159099719214,0.585,0.874,6.66974336516723e-309,"AT3G01500","Yes"
"AT5G55850",9.72715964950618e-313,1.70221130863559,0.878,0.815,1.99825040679805e-308,"AT5G55850","Yes"
"AT4G27440",1.28687131853483e-312,-1.00077889308143,0.455,0.86,2.64361974966611e-308,"AT4G27440","Yes"
"AT5G51070",4.93552948229909e-312,1.96147372764329,0.912,0.796,1.0139058215487e-307,"AT5G51070","Yes"
"AT2G42540",6.47890939123273e-311,-1.61759132838063,0.593,0.891,1.33096235624094e-306,"AT2G42540","Yes"
"AT5G14320",7.32348746630807e-311,-0.947780682610861,0.684,0.922,1.50446403020367e-306,"AT5G14320","Yes"
"AT1G80160",8.80553260885614e-309,4.44791637161244,0.366,0.051,1.80892056383732e-304,"AT1G80160","Yes"
"AT3G48020",1.22459585696723e-307,5.19130432812501,0.313,0.022,2.51568726896778e-303,"AT3G48020","Yes"
"AT3G07460",6.44117787739512e-306,-1.73856464869133,0.244,0.61,1.32321117135328e-301,"AT3G07460","Yes"
"AT1G61250",2.31263498876522e-305,1.70300150801355,0.84,0.743,4.75084605742039e-301,"AT1G61250","Yes"
"AT5G25260",3.14203923297973e-304,5.19332765861752,0.295,0.013,6.45469119631027e-300,"AT5G25260","Yes"
"AT2G38860",3.19105809293993e-304,3.33671433006168,0.5,0.165,6.55539064032651e-300,"AT2G38860","Yes"
"AT4G21960",3.83793216772082e-304,-1.1251548415773,0.541,0.867,7.88426405214887e-300,"AT4G21960","Yes"
"AT3G55840",1.7701819918352e-303,-1.29229725629901,0.525,0.871,3.63648486582705e-299,"AT3G55840","Yes"
"AT4G21280",4.25273390710498e-303,-0.859051286636665,0.844,0.973,8.73639126536577e-299,"AT4G21280","Yes"
"AT5G05690",4.28300587100805e-303,-1.17180426430122,0.475,0.819,8.79857896081185e-299,"AT5G05690","Yes"
"AT3G22210",5.47255202079561e-303,-1.58975376922919,0.316,0.677,1.12422636163204e-298,"AT3G22210","Yes"
"AT1G12900",2.56165453067565e-302,-1.07232827343466,0.539,0.871,5.26240690236699e-298,"AT1G12900","Yes"
"AT1G65690",3.38272770497471e-302,2.75228467512115,0.465,0.125,6.94913752432955e-298,"AT1G65690","Yes"
"AT2G26500",2.71383404403379e-301,-0.821823584522288,0.86,0.976,5.57502927665861e-297,"AT2G26500","Yes"
"AT2G37220",1.04016477418566e-300,-1.00643890010809,0.548,0.869,2.13681049560961e-296,"AT2G37220","Yes"
"AT4G30690",2.73315422826842e-300,-1.17407678734558,0.437,0.788,5.61471873113182e-296,"AT4G30690","Yes"
"AT1G07590",1.03304698813804e-299,1.13322824674582,0.998,0.985,2.12218842773198e-295,"AT1G07590","Yes"
"AT3G62290",1.70575225330269e-299,1.03995174126386,0.919,0.919,3.50412685395972e-295,"AT3G62290","Yes"
"AT3G08690",3.09960524323402e-299,2.28015616848902,0.69,0.456,6.36751905117566e-295,"AT3G08690","Yes"
"AT5G44568",4.0422619102633e-299,4.95843501010373,0.31,0.024,8.3040186422539e-295,"AT5G44568","Yes"
"AT4G34620",8.490640568526e-299,-0.781880558486488,0.896,0.977,1.7442322919923e-294,"AT4G34620","Yes"
"AT3G47540",2.00020776087916e-298,4.28480611426597,0.431,0.114,4.10902680317405e-294,"AT3G47540","Yes"
"AT1G75950",2.55679301027265e-298,0.991995737815928,0.941,0.951,5.2524198810031e-294,"AT1G75950","Yes"
"AT5G40370",2.32694205297293e-296,1.0977760899927,0.95,0.939,4.7802370594223e-292,"AT5G40370","Yes"
"AT4G17490",3.24923541381975e-295,-1.17681333085034,0.555,0.858,6.6749043106099e-291,"AT4G17490","Yes"
"AT1G01680",7.32722716550807e-295,5.44900140657881,0.287,0.013,1.50523227661032e-290,"AT1G01680","Yes"
"AT3G27850",7.46022718466464e-295,-1.0485436158186,0.546,0.854,1.53255447054566e-290,"AT3G27850","Yes"
"AT2G29350",1.11491457803492e-294,4.43343853251281,0.31,0.024,2.29036901765714e-290,"AT2G29350","Yes"
"AT4G37010",9.33899692267903e-294,3.86065476900615,0.334,0.039,1.91851013782595e-289,"AT4G37010","Yes"
"AT1G20340",1.43531413805602e-293,-0.878432448291025,0.96,0.991,2.94856583380848e-289,"AT1G20340","Yes"
"AT3G15190",2.6776414784308e-293,-1.05590772800188,0.527,0.856,5.50067888914039e-289,"AT3G15190","Yes"
"AT1G67700",4.68864622934732e-293,-0.927323212987873,0.562,0.89,9.63188594894819e-289,"AT1G67700","Yes"
"AT1G06460",1.46575581002325e-292,-1.15154554062775,0.454,0.791,3.01110216053077e-288,"AT1G06460","Yes"
"AT5G55450",2.90201725661032e-292,3.8787218484814,0.297,0.018,5.96161405025458e-288,"AT5G55450","Yes"
"AT2G29470",6.54937760700657e-292,3.82688377944608,0.39,0.078,1.34543864180736e-287,"AT2G29470","Yes"
"AT1G13990",6.87132816815662e-292,1.96480980349499,0.741,0.554,1.41157694558441e-287,"AT1G13990","Yes"
"AT1G03680",1.91513657706212e-291,-0.867417228804514,0.742,0.93,3.93426507025871e-287,"AT1G03680","Yes"
"AT4G35770",2.54428436010895e-291,-1.8287799524523,0.322,0.687,5.22672336097181e-287,"AT4G35770","Yes"
"FED A",1.19295431455776e-288,-0.978375393829904,0.75,0.951,2.45068604839602e-284,"FED A","Yes"
"AT1G65390",2.20585304882091e-288,-1.70460227692232,0.2,0.578,4.53148391819279e-284,"AT1G65390","Yes"
"AT3G54050",1.09728506469129e-287,-1.06250050868093,0.483,0.832,2.25415270839532e-283,"AT3G54050","Yes"
"AT4G24770",2.34043983210679e-287,-0.799573615996869,0.803,0.958,4.80796554709697e-283,"AT4G24770","Yes"
"AT5G66570",9.52544479335822e-287,-0.781646655896393,0.978,0.997,1.95681212389958e-282,"AT5G66570","Yes"
"AT1G11860",1.97705180717087e-285,-0.983594902597248,0.565,0.868,4.06145752747112e-281,"AT1G11860","Yes"
"AT5G09660",6.7774124137319e-284,-0.922877278150206,0.664,0.909,1.39228383215294e-279,"AT5G09660","Yes"
"AT4G02770",8.69801624669112e-282,-1.01390418508963,0.839,0.961,1.78683347755776e-277,"AT4G02770","Yes"
"AT5G01210",8.74583638651518e-282,6.30763647690474,0.277,0.013,1.79665716888181e-277,"AT5G01210","Yes"
"AT1G68840",1.00807573560643e-281,-1.03241755974917,0.652,0.918,2.07088998365629e-277,"AT1G68840","Yes"
"AT2G45760",2.13589087644788e-281,3.52693720800216,0.438,0.121,4.38776062748689e-277,"AT2G45760","Yes"
"AT3G25920",1.28141564716495e-279,-0.930296258638482,0.608,0.896,2.63241216397095e-275,"AT3G25920","Yes"
"AT5G64810",2.47200682808451e-279,4.62037519194005,0.296,0.023,5.07824362693401e-275,"AT5G64810","Yes"
"AT3G21070",2.76420180470894e-279,-1.19301296270046,0.601,0.894,5.67849976741358e-275,"AT3G21070","Yes"
"AT3G56910",2.28331398717668e-277,-0.898801002846541,0.724,0.924,4.69061192385705e-273,"AT3G56910","Yes"
"AT2G18660",4.47491077635274e-277,5.95626316455978,0.257,0.005,9.19280920786143e-273,"AT2G18660","Yes"
"AT5G01530",2.13524227799121e-276,-0.744196215253468,0.969,0.996,4.38642821167735e-272,"AT5G01530","Yes"
"AT3G16770",6.33128968683968e-276,-1.68899608353119,0.226,0.582,1.30063684036748e-271,"AT3G16770","Yes"
"AT4G27410",2.50059739810585e-275,2.4873599838794,0.681,0.418,5.13697723492884e-271,"AT4G27410","Yes"
"AT1G22810",5.70272125554689e-275,-0.805294374923337,0.538,0.927,1.171510027527e-270,"AT1G22810","Yes"
"AT4G35180",7.08606346585486e-275,3.1782913191073,0.403,0.093,1.45569001779056e-270,"AT4G35180","Yes"
"AT1G52890",1.0833557852946e-274,1.69396521730279,0.798,0.583,2.22553778973069e-270,"AT1G52890","Yes"
"AT1G48350",2.0501722797814e-274,-0.904170454613041,0.631,0.902,4.21166891435493e-270,"AT1G48350","Yes"
"AT2G47130",2.56472434477207e-274,3.97455360980971,0.357,0.065,5.26871322146527e-270,"AT2G47130","Yes"
"AT5G66052",3.28077605312287e-274,-1.20610267053256,0.371,0.72,6.73969824593031e-270,"AT5G66052","Yes"
"AT5G65207",3.81523751362848e-274,-1.17386638706003,0.511,0.831,7.83764242424699e-270,"AT5G65207","Yes"
"AT5G24530",1.10602370338984e-272,3.37838676526473,0.411,0.101,2.27210449387375e-268,"AT5G24530","Yes"
"AT4G23470",1.57965567299904e-272,1.2798394147315,0.867,0.834,3.24508664904193e-268,"AT4G23470","Yes"
"AT3G16140",2.94054650081972e-272,-0.729604015215048,0.862,0.968,6.04076467663395e-268,"AT3G16140","Yes"
"AT3G23600",9.1373569662036e-272,1.33205313556784,0.866,0.852,1.87708724156721e-267,"AT3G23600","Yes"
"AT3G15210",6.58346855907974e-271,-0.873002748250575,0.734,0.929,1.35244194609175e-266,"AT3G15210","Yes"
"AT1G20440",7.04424105518437e-271,-1.29110952642658,0.555,0.876,1.44709843996652e-266,"AT1G20440","Yes"
"ATCG00630",2.1458000498515e-270,-0.721782890940796,0.941,0.981,4.40811704240994e-266,"ATCG00630","Yes"
"AT5G08330",4.96436421901642e-270,-1.26140080795832,0.293,0.679,1.01982934151254e-265,"AT5G08330","Yes"
"AT5G19940",5.98187086842057e-270,-0.786522867003106,0.772,0.956,1.22885573249964e-265,"AT5G19940","Yes"
"AT1G35710",2.44974013522514e-269,5.27087786188297,0.275,0.017,5.032501159793e-265,"AT1G35710","Yes"
"AT1G32990",4.21402292305892e-268,-0.980190228389123,0.496,0.835,8.65686729083994e-264,"AT1G32990","Yes"
"AT3G63140",2.48600008314133e-267,-1.11772889332932,0.494,0.802,5.10698997079724e-263,"AT3G63140","Yes"
"AT2G29290",4.76477952677318e-266,-1.72016398760162,0.178,0.526,9.78828658185015e-262,"AT2G29290","Yes"
"AT1G64510",7.08505911859448e-266,-0.978055102091088,0.495,0.836,1.45548369473286e-261,"AT1G64510","Yes"
"AT3G13950",1.3475615946444e-265,5.28500082323663,0.265,0.013,2.76829578387799e-261,"AT3G13950","Yes"
"AT3G29320",3.24780946942992e-265,-1.26264020390198,0.311,0.685,6.67197499304988e-261,"AT3G29320","Yes"
"AT2G31040",3.28591481156543e-265,-1.12241077727953,0.392,0.742,6.75025479739887e-261,"AT2G31040","Yes"
"AT5G59730",5.94201909567915e-265,-1.39545584600406,0.445,0.795,1.22066898282537e-260,"AT5G59730","Yes"
"AT2G43970",6.83932995470342e-265,1.23733084809208,0.853,0.831,1.40500355259472e-260,"AT2G43970","Yes"
"AT4G32470",1.23450535470238e-264,0.987052689939753,0.896,0.915,2.53604435016509e-260,"AT4G32470","Yes"
"AT1G79850",4.63464452068283e-264,-1.0010015348519,0.551,0.85,9.52095023883874e-260,"AT1G79850","Yes"
"AT2G17840",8.99272353986413e-264,-0.807923040106764,0.883,0.991,1.84737519679429e-259,"AT2G17840","Yes"
"AT3G16250",1.30164098106734e-262,-1.51398602434868,0.224,0.585,2.67396106740664e-258,"AT3G16250","Yes"
"AT3G26060",5.45392246777397e-262,-1.06129962097461,0.435,0.784,1.12039929255481e-257,"AT3G26060","Yes"
"AT1G68620",9.62708915869789e-262,2.68146637534208,0.433,0.119,1.97769292587131e-257,"AT1G68620","Yes"
"AT1G75690",4.95427895481875e-261,-0.944391565364234,0.574,0.864,1.01775752568842e-256,"AT1G75690","Yes"
"AT5G62720",5.09508125162586e-259,-1.07889483797011,0.415,0.77,1.0466825415215e-254,"AT5G62720","Yes"
"AT3G56400",7.130166193133e-259,3.77877065249169,0.374,0.083,1.46475004105531e-254,"AT3G56400","Yes"
"AT3G26840",1.12796976405234e-258,3.87859710280142,0.309,0.041,2.31718828629273e-254,"AT3G26840","Yes"
"AT1G08980",2.12578200087978e-258,-0.946884120645785,0.49,0.835,4.36699396440733e-254,"AT1G08980","Yes"
"AT3G10520",4.94345419363174e-258,-1.5487765365634,0.215,0.57,1.01553379499777e-253,"AT3G10520","Yes"
"AT1G54130",1.32919379099595e-257,2.55295890389921,0.75,0.591,2.73056280484299e-253,"AT1G54130","Yes"
"AT3G52430",2.32404790830324e-257,3.88470864009923,0.499,0.207,4.77429161802735e-253,"AT3G52430","Yes"
"AT4G30270",6.28668574970143e-257,2.34271563319146,0.51,0.188,1.29147385356117e-252,"AT4G30270","Yes"
"AT1G65820",8.77728178140504e-257,1.59868607779899,0.839,0.779,1.80311699635404e-252,"AT1G65820","Yes"
"AT5G19590",1.0876886780311e-256,1.74081386633606,0.783,0.682,2.23443885127928e-252,"AT5G19590","Yes"
"AT1G20823",1.72535253773923e-255,-1.38068636513007,0.288,0.666,3.5443917182777e-251,"AT1G20823","Yes"
"AT1G12845",5.45093440362429e-255,-1.55681308879824,0.207,0.561,1.11978545453654e-250,"AT1G12845","Yes"
"AT3G50685",8.77720874780654e-254,-1.11860671710984,0.427,0.755,1.8031019930619e-249,"AT3G50685","Yes"
"ATCG00590",1.16239484220554e-253,-0.939061800238157,0.76,0.906,2.38790772434284e-249,"ATCG00590","Yes"
"AT5G64400",1.4666315571869e-253,0.665712355000658,0.976,0.985,3.01290120792905e-249,"AT5G64400","Yes"
"AT5G46780",2.07324096530888e-253,2.10345203449212,0.638,0.376,4.25905891503404e-249,"AT5G46780","Yes"
"AT3G13120",2.10589541656809e-253,-1.00794670038148,0.538,0.827,4.32614095425584e-249,"AT3G13120","Yes"
"AT5G42300",2.92021206654171e-253,0.896726057740361,0.964,0.975,5.99899164829664e-249,"AT5G42300","Yes"
"AT4G37830",4.80157798554723e-253,1.0480034395642,0.954,0.961,9.86388165570968e-249,"AT4G37830","Yes"
"AT4G36990",2.62804999013904e-252,1.60348978071157,0.844,0.741,5.39880309474262e-248,"AT4G36990","Yes"
"AT1G53625",2.86324603862024e-251,2.85036511093042,0.454,0.152,5.88196633713756e-247,"AT1G53625","Yes"
"AT2G15890",3.6630904593053e-251,-1.1307752132358,0.515,0.829,7.52508673055088e-247,"AT2G15890","Yes"
"AT3G08030",9.12951604386648e-251,-1.25294303570956,0.286,0.651,1.87547648089149e-246,"AT3G08030","Yes"
"AT1G72680",1.46886074619484e-250,3.23150989833893,0.391,0.105,3.01748063090806e-246,"AT1G72680","Yes"
