"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"AT5G16120",0.0254583087785684,0.460089540925855,0.342,0.353,1,"AT5G16120","No"
"AT1G24460",0.0255021636939178,0.668501029392668,0.148,0.138,1,"AT1G24460","No"
"AT2G42080",0.025533229444262,0.178543524182597,0.134,0.156,1,"AT2G42080","No"
"AT4G10430",0.0255375175643328,0.150985974601544,0.096,0.113,1,"AT4G10430","No"
"AT2G22100",0.0255387966490447,-0.625138418567686,0.008,0.012,1,"AT2G22100","No"
"AT2G41070",0.0255428478946227,1.10250973649162,0.03,0.023,1,"AT2G41070","No"
"AT1G71000",0.0255772941802041,0.650350481805648,0.089,0.076,1,"AT1G71000","No"
"AT5G43070",0.025629997539472,0.482268862007027,0.113,0.1,1,"AT5G43070","No"
"AT1G04070",0.0257399024928124,0.52637470461133,0.251,0.246,1,"AT1G04070","No"
"AT2G20142",0.0257480774152723,0.541875115600795,0.065,0.055,1,"AT2G20142","No"
"AT3G21270",0.0257891079620374,-0.17615722294149,0.022,0.029,1,"AT3G21270","No"
"AT1G20270",0.0258234267055827,0.167104102160942,0.033,0.043,1,"AT1G20270","No"
"AT2G27950",0.0258335071491174,0.83354194985609,0.073,0.063,1,"AT2G27950","No"
"AT5G42360",0.0258341648782074,0.820293347911115,0.057,0.047,1,"AT5G42360","No"
"AT4G01410",0.0259282923764901,-0.916125413092613,0.006,0.01,1,"AT4G01410","No"
"AT3G19120",0.0259384491883888,0.132316904400481,0.027,0.035,1,"AT3G19120","No"
"AT5G57250",0.025954262349411,-0.316831799754607,0.01,0.016,1,"AT5G57250","No"
"AT5G04760",0.0259651520712742,0.314023169965131,0.575,0.62,1,"AT5G04760","No"
"AT5G02680",0.0260185447523908,1.13033177863121,0.029,0.022,1,"AT5G02680","No"
"AT1G45229",0.0261845322883099,0.126167726677633,0.009,0.013,1,"AT1G45229","No"
"AT5G08620",0.0263723947374954,0.595683165255855,0.12,0.11,1,"AT5G08620","No"
"AT3G27360",0.0264278272506369,-0.191395085625108,0.021,0.029,1,"AT3G27360","No"
"AT2G33585",0.0264688507719168,0.639920278515838,0.238,0.236,1,"AT2G33585","No"
"AT5G22875",0.0264879037361919,0.514181984936362,0.47,0.506,1,"AT5G22875","No"
"ATB' BETA",0.0265195375325614,0.531920475057065,0.071,0.061,1,"ATB' BETA","No"
"AT1G30490",0.0265960903076124,0.211568397285907,0.012,0.018,1,"AT1G30490","No"
"AT5G25150",0.0266013856090096,0.365499062847403,0.059,0.072,1,"AT5G25150","No"
"AT4G08580",0.0266023364776522,0.694909559464557,0.177,0.169,1,"AT4G08580","No"
"AT1G21680",0.0266997754178042,0.139473109549256,0.706,0.816,1,"AT1G21680","No"
"AT3G22200",0.0267779733749122,0.305086422880991,0.284,0.329,1,"AT3G22200","No"
"AT3G47990",0.0267781713430259,0.520118957594804,0.159,0.148,1,"AT3G47990","No"
"AT5G24510",0.0268082176108058,1.30676965667873,0.01,0.006,1,"AT5G24510","No"
"AT3G24150",0.0268603071562148,-0.407843151316539,0.014,0.02,1,"AT3G24150","No"
"AT1G05360",0.0268922659397697,0.178241889683148,0.045,0.055,1,"AT1G05360","No"
"AT5G55760",0.0269838132748168,-0.231456351196309,0.016,0.022,1,"AT5G55760","No"
