"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"78",0,8.60346775234481,0.757,0.014,0,"15","AT1G22710"
"79",0,8.53298748064108,0.564,0.004,0,"15","AT1G45201"
"80",0,8.51936303784217,0.295,0.002,0,"15","AT5G49660"
"81",0,12.3810089538649,0.332,0,0,"16","AT4G23410"
"82",0,11.2999941078764,0.816,0.004,0,"16","AT3G48740"
"83",0,11.136492861692,0.584,0.001,0,"16","AT4G08290"
"84",0,11.0534558750929,0.278,0,0,"16","AT4G39770"
"85",0,10.7642073522265,0.803,0.003,0,"16","AT5G23660"
"86",0,6.31710390805428,0.58,0.023,0,"17","AT1G53540"
"87",0,6.14638359871024,0.757,0.056,0,"17","AT5G12030"
"88",0,6.10127122673533,0.591,0.039,0,"17","AT3G46230"
"89",0,6.03499231480472,0.684,0.055,0,"17","AT2G29500"
"90",0,6.00071880231585,0.554,0.032,0,"17","AT1G16030"
"91",0,11.0218097294712,0.633,0.001,0,"18","AT3G24140"
"92",0,10.9894540048034,0.274,0,0,"18","AT1G23380"
"93",0,10.883225736435,0.685,0.001,0,"18","AT3G12500"
"94",0,10.8509211495798,0.907,0.003,0,"18","AT5G48485"
"95",0,10.8498252439106,0.522,0,0,"18","AT3G57600"
